id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s
148,-100,-60.0,45.0,2.5,1.0,-54.9667,47.0,42.41,0.2311
147,-100,-60.0,45.0,2.0,10.0,-66.5667,54.27,36.58,0.8582
150,-100,-60.0,45.0,2.5,4.0,-56.7967,31.74,54.61,0.3583
149,-100,-60.0,45.0,2.5,2.5,-56.49,31.94,54.45,0.4571
151,-100,-60.0,45.0,2.5,5.5,-58.9067,40.78,47.37,0.6686
155,-100,-60.0,45.0,3.0,1.0,-48.78,20.03,63.98,0.1378
153,-100,-60.0,45.0,2.5,8.5,-58.4833,37.58,49.94,0.4901
152,-100,-60.0,45.0,2.5,7.0,-57.4,25.65,59.48,0.3728
156,-100,-60.0,45.0,3.0,2.5,-49.7133,20.07,63.96,0.1728
154,-100,-60.0,45.0,2.5,10.0,-56.21,28.09,57.54,0.3896
157,-100,-60.0,45.0,3.0,4.0,-50.1167,25.38,59.7,0.2593
158,-100,-60.0,45.0,3.0,5.5,-48.6533,20.06,63.96,0.1801
159,-100,-60.0,45.0,3.0,7.0,-50.44,20.03,63.98,0.1855
160,-100,-60.0,45.0,3.0,8.5,-50.46,21.06,63.16,0.2429
164,-100,-60.0,45.0,3.5,4.0,-43.4033,20.03,63.98,0.1515
162,-100,-60.0,45.0,3.5,1.0,-39.45,20.03,63.98,0.1378
163,-100,-60.0,45.0,3.5,2.5,-40.6567,20.04,63.98,0.1343
165,-100,-60.0,45.0,3.5,5.5,-43.4967,20.04,63.98,0.1403
161,-100,-60.0,45.0,3.0,10.0,-50.3833,22.73,61.81,0.2539
166,-100,-60.0,45.0,3.5,7.0,-43.1233,20.01,63.99,0.1671
167,-100,-60.0,45.0,3.5,8.5,-40.8633,20.02,63.99,0.1508
168,-100,-60.0,45.0,3.5,10.0,-43.86,20.21,63.84,0.1999
169,-100,-60.0,45.0,4.0,1.0,-31.5033,20.02,63.99,0.1483
170,-100,-60.0,45.0,4.0,2.5,-36.8967,20.04,63.98,0.1553
171,-100,-60.0,45.0,4.0,4.0,-34.9867,20.03,63.98,0.1462
172,-100,-60.0,45.0,4.0,5.5,-34.53,20.03,63.98,0.1456
176,-100,-60.0,50.0,2.0,1.0,-64.6067,88.96,8.84,0.7084
177,-100,-60.0,50.0,2.0,2.5,-61.87,67.87,25.71,0.6722
173,-100,-60.0,45.0,4.0,7.0,-33.1433,20.04,63.98,0.1392
178,-100,-60.0,50.0,2.0,4.0,-62.89,72.68,21.86,0.9836
174,-100,-60.0,45.0,4.0,8.5,-37.5767,20.03,63.98,0.1833
175,-100,-60.0,45.0,4.0,10.0,-37.0467,20.04,63.98,0.1462
179,-100,-60.0,50.0,2.0,5.5,-66.8267,70.21,23.83,0.882
180,-100,-60.0,50.0,2.0,7.0,-65.9733,68.21,25.43,1.154
181,-100,-60.0,50.0,2.0,8.5,-63.2267,50.04,39.97,0.7437
182,-100,-60.0,50.0,2.0,10.0,-62.12,38.92,48.87,0.4961
183,-100,-60.0,50.0,2.5,1.0,-54.4567,28.19,57.46,0.314
184,-100,-60.0,50.0,2.5,2.5,-55.25,28.27,57.38,0.3339
185,-100,-60.0,50.0,2.5,4.0,-56.1767,37.95,49.64,0.5447
186,-100,-60.0,50.0,2.5,5.5,-58.7433,45.49,43.61,0.5872
190,-100,-60.0,50.0,3.0,1.0,-50.5333,20.04,63.98,0.1915
187,-100,-60.0,50.0,2.5,7.0,-54.7933,25.91,59.28,0.3695
191,-100,-60.0,50.0,3.0,2.5,-51.91,20.04,63.98,0.1941
188,-100,-60.0,50.0,2.5,8.5,-58.5733,33.96,52.83,0.4554
189,-100,-60.0,50.0,2.5,10.0,-61.4733,38.77,48.99,0.5633
192,-100,-60.0,50.0,3.0,4.0,-49.25,20.05,63.96,0.1709
193,-100,-60.0,50.0,3.0,5.5,-51.1133,21.79,62.57,0.2283
194,-100,-60.0,50.0,3.0,7.0,-47.71,20.03,63.97,0.1746
195,-100,-60.0,50.0,3.0,8.5,-45.7333,20.05,63.97,0.1981
197,-100,-60.0,50.0,3.5,1.0,-40.26,20.02,63.99,0.1507
198,-100,-60.0,50.0,3.5,2.5,-47.1067,20.08,63.95,0.1762
196,-100,-60.0,50.0,3.0,10.0,-53.42,24.94,60.05,0.3497
199,-100,-60.0,50.0,3.5,4.0,-40.9533,20.04,63.98,0.1467
200,-100,-60.0,50.0,3.5,5.5,-41.4567,20.06,63.95,0.1606
201,-100,-60.0,50.0,3.5,7.0,-39.5367,20.05,63.97,0.1605
202,-100,-60.0,50.0,3.5,8.5,-41.9833,20.04,63.97,0.1558
203,-100,-60.0,50.0,3.5,10.0,-40.9,20.04,63.98,0.1637
204,-100,-60.0,50.0,4.0,1.0,-33.7033,20.04,63.98,0.1343
205,-100,-60.0,50.0,4.0,2.5,-28.61,20.04,63.97,0.1319
206,-100,-60.0,50.0,4.0,4.0,-33.7933,20.04,63.98,0.1442
211,-100,-60.0,55.0,2.0,1.0,-65.2467,85.27,11.78,0.7692
212,-100,-60.0,55.0,2.0,2.5,-62.5167,69.95,24.04,0.3908
207,-100,-60.0,50.0,4.0,5.5,-33.2667,20.03,63.98,0.1455
208,-100,-60.0,50.0,4.0,7.0,-33.9067,20.02,63.99,0.149
213,-100,-60.0,55.0,2.0,4.0,-66.0333,81.39,14.89,1.1481
209,-100,-60.0,50.0,4.0,8.5,-30.5033,20.02,63.99,0.1437
210,-100,-60.0,50.0,4.0,10.0,-32.1,20.04,63.97,0.1635
214,-100,-60.0,55.0,2.0,5.5,-65.24,63.24,29.41,0.7511
215,-100,-60.0,55.0,2.0,7.0,-66.0167,62.47,30.02,0.7825
216,-100,-60.0,55.0,2.0,8.5,-65.5767,55.56,35.55,0.7931
217,-100,-60.0,55.0,2.0,10.0,-63.8533,48.47,41.22,0.7059
218,-100,-60.0,55.0,2.5,1.0,-56.4367,44.77,44.18,0.2157
219,-100,-60.0,55.0,2.5,2.5,-56.4833,42.18,46.26,0.267
223,-100,-60.0,55.0,2.5,8.5,-55.41,32.76,53.8,0.4349
